Approved Symbol	Previous Symbols	Synonyms	RefSeq IDs	Gene family description	Ensembl ID (mapped data supplied by Ensembl)
KRTAP2-1		KAP2.1A		"Keratin associated proteins"	ENSG00000212725
KRTAP2-2		KAP2.2		"Keratin associated proteins"	ENSG00000214518
KRTAP2-3		KAP2.3		"Keratin associated proteins"	ENSG00000212724
KRTAP2-4		KAP2.4		"Keratin associated proteins"	ENSG00000213417
KRTAP2-5P	KRTAP2P1	KAP2A		"Keratin associated proteins"	ENSG00000237230
KRTAP3-1		KAP3.1		"Keratin associated proteins"	ENSG00000212901
KRTAP3-2		KAP3.2		"Keratin associated proteins"	ENSG00000212900
KRTAP3-3		KAP3.3		"Keratin associated proteins"	ENSG00000212899
KRTAP3-4P	KRTAP3P1	KAP3A		"Keratin associated proteins"	
KRTAP4-1	KRTAP4-10	KAP4.1, KAP4.10		"Keratin associated proteins"	ENSG00000198443
KRTAP4-2		KAP4.2		"Keratin associated proteins"	ENSG00000244537
KRTAP4-3		KAP4.3		"Keratin associated proteins"	ENSG00000196156
KRTAP4-4	KRTAP4-13	KAP4.4, KAP4.13		"Keratin associated proteins"	ENSG00000171396
KRTAP4-5		KAP4.5		"Keratin associated proteins"	ENSG00000198271
KRTAP4-6	KRTAP4-15	KAP4.6, KAP4.15		"Keratin associated proteins"	ENSG00000198090
KRTAP4-7		KAP4.7		"Keratin associated proteins"	ENSG00000240871
KRTAP4-8		KAP4.8	NM_031960	"Keratin associated proteins"	ENSG00000204880
KRTAP4-9		KAP4.9	NM_001146041	"Keratin associated proteins"	ENSG00000212722
KRTAP4-10~withdrawn				"Keratin associated proteins"	
KRTAP4-11	KRTAP4-14	KAP4.11, KAP4.14		"Keratin associated proteins"	ENSG00000212721
KRTAP4-12		KAP4.12		"Keratin associated proteins"	ENSG00000213416
KRTAP4-13~withdrawn				"Keratin associated proteins"	
KRTAP4-14~withdrawn				"Keratin associated proteins"	
KRTAP4-15~withdrawn				"Keratin associated proteins"	
KRTAP4-16P	KRTAP4P1	KAP4A		"Keratin associated proteins"	
KRTAP5-1	KRN1L	KRTAP5.1	NM_001005922	"Keratin associated proteins"	ENSG00000205869
KRTAP5-2		KRTAP5.2, KRTAP5-8	NM_001004325	"Keratin associated proteins"	ENSG00000205867
KRTAP5-3		KRTAP5.3, KRTAP5-9		"Keratin associated proteins"	ENSG00000196224
KRTAP5-4		KRTAP5.4		"Keratin associated proteins"	ENSG00000241598
KRTAP5-5		KRTAP5.5, KRTAP5-11		"Keratin associated proteins"	ENSG00000185940
KRTAP5-6		KRTAP5.6		"Keratin associated proteins"	ENSG00000205864
KRTAP5-7		KRTAP5.7, KRTAP5-3		"Keratin associated proteins"	ENSG00000244411
KRTAP5-8		KRTAP5.8, UHSKerB, KRTAP5-2	NM_021046	"Keratin associated proteins"	ENSG00000241233
KRTAP5-9	KRN1	KRTAP5.9, KRTAP5-1		"Keratin associated proteins"	ENSG00000254997
KRTAP5-10		KRTAP5.10		"Keratin associated proteins"	ENSG00000204572
KRTAP5-11		KRTAP5.11, KRTAP5-6	NM_001005405	"Keratin associated proteins"	ENSG00000204571
KRTAP5-13P	KRTAP5P1	KRTAP5.P1		"Keratin associated proteins"	
KRTAP5-14P	KRTAP5P2	KRTAP5.P2		"Keratin associated proteins"	
KRTAP6-1		KAP6.1, C21orf103	NM_181602	"Keratin associated proteins"	ENSG00000184724
KRTAP6-2		KAP6.2		"Keratin associated proteins"	ENSG00000186930
KRTAP6-3		KAP6.3		"Keratin associated proteins"	ENSG00000212938
KRTAP7-1		KAP7.1		"Keratin associated proteins"	ENSG00000184586
KRTAP8-1		KAP8.1		"Keratin associated proteins"	ENSG00000183640
KRTAP8-2P	KRTAP8P1	KAP8A		"Keratin associated proteins"	ENSG00000233036
KRTAP8-3P	KRTAP8P2	KAP8B		"Keratin associated proteins"	ENSG00000227840
KRTAP9-1	KRTAP9L3	KAP9.1		"Keratin associated proteins"	ENSG00000240542
KRTAP9-2		KAP9.2		"Keratin associated proteins"	ENSG00000239886
KRTAP9-3		KAP9.3		"Keratin associated proteins"	ENSG00000204873
KRTAP9-4		KAP9.4		"Keratin associated proteins"	ENSG00000241595
KRTAP9-6	KRTAP9L2	KAP9.6		"Keratin associated proteins"	ENSG00000212659
KRTAP9-7	KRTAP9L1	KAP9.7		"Keratin associated proteins"	ENSG00000180386
KRTAP9-8		KAP9.8		"Keratin associated proteins"	ENSG00000187272
KRTAP9-9	KRTAP9-5	KAP9.9, KAP9.5	NM_030975	"Keratin associated proteins"	ENSG00000198083
KRTAP9-11P	KRTAP9P1	KAP9A		"Keratin associated proteins"	
KRTAP9L1~withdrawn					
KRTAP9L2~withdrawn					
KRTAP9L3~withdrawn					
KRTAP10-1	KRTAP18-1	KAP10.1, KAP18.1		"Keratin associated proteins"	ENSG00000215455
KRTAP10-2	KRTAP18-2	KAP10.2, KAP18.2		"Keratin associated proteins"	ENSG00000205445
KRTAP10-3	KRTAP18-3	KAP10.3, KAP18.3		"Keratin associated proteins"	ENSG00000212935
KRTAP10-4	KRTAP18-4	KRTAP18.4, KAP10.4	NM_198687	"Keratin associated proteins"	ENSG00000215454
KRTAP10-5	KRTAP18-5	KAP10.5, KAP18.5		"Keratin associated proteins"	ENSG00000241123
KRTAP10-6	KRTAP18-6	KRTAP18.6, KAP18.6, KAP10.6	NM_198688	"Keratin associated proteins"	ENSG00000188155
KRTAP10-7	KRTAP18-7	KAP10.7, KAP18.7		"Keratin associated proteins"	ENSG00000205441
KRTAP10-8	KRTAP18-8	KRTAP18.8, KAP10.8	NM_198695	"Keratin associated proteins"	ENSG00000187766
KRTAP10-9	KRTAP18-9	KAP10.9, KAP18.9		"Keratin associated proteins"	ENSG00000221837
KRTAP10-10		KAP10.10, KAP18.10, KRTAP18-10	NM_181688	"Keratin associated proteins"	ENSG00000221859
KRTAP10-11	KRTAP18-11	KRTAP18.11, KAP18.11, KAP10.11	NM_198692	"Keratin associated proteins"	ENSG00000243489
KRTAP10-12	KRTAP18-12	KRTAP18.12, KAP10.12	NM_198699	"Keratin associated proteins"	ENSG00000189169
KRTAP10-13P				"Keratin associated proteins"	ENSG00000236382
KRTAP11-1		KAP11.1		"Keratin associated proteins"	ENSG00000182591
KRTAP12-1		KRTAP12.1, KAP12.1	NM_181686	"Keratin associated proteins"	ENSG00000187175
KRTAP12-2		KRTAP12.2, KAP12.2	NM_181684	"Keratin associated proteins"	ENSG00000221864
KRTAP12-3		KRTAP12.3		"Keratin associated proteins"	ENSG00000205439
KRTAP12-4		KRTAP12.4		"Keratin associated proteins"	ENSG00000212933
KRTAP13-1		KAP13.1		"Keratin associated proteins"	ENSG00000198390
KRTAP13-2		KAP13-2		"Keratin associated proteins"	ENSG00000182816
KRTAP13-3		KAP13.3		"Keratin associated proteins"	ENSG00000240432
KRTAP13-4		KAP13.4		"Keratin associated proteins"	ENSG00000186971
KRTAP13-5P	KRTAP13P1	KAP13A		"Keratin associated proteins"	ENSG00000233640
KRTAP13-6P	KRTAP13P2	KAP13B		"Keratin associated proteins"	ENSG00000250973
KRTAP15-1		KAP15.1		"Keratin associated proteins"	ENSG00000186970
KRTAP16-1		KAP16.1		"Keratin associated proteins"	ENSG00000212657
KRTAP17-1		KAP17.1		"Keratin associated proteins"	ENSG00000186860
KRTAP18-1~withdrawn					
KRTAP18-2~withdrawn					
KRTAP18-3~withdrawn					
KRTAP18-5~withdrawn					
KRTAP18-7~withdrawn					
KRTAP18-9~withdrawn					
KRTAP19-1		KAP19.1		"Keratin associated proteins"	ENSG00000184351
KRTAP19-2		KAP19.2		"Keratin associated proteins"	ENSG00000186965
KRTAP19-3		KAP19.3		"Keratin associated proteins"	ENSG00000244025
KRTAP19-4		KAP19.4		"Keratin associated proteins"	ENSG00000186967
KRTAP19-5		KAP19.5		"Keratin associated proteins"	ENSG00000186977
KRTAP19-6		KAP19.6		"Keratin associated proteins"	ENSG00000186925
KRTAP19-7		KAP19.7		"Keratin associated proteins"	ENSG00000244362
KRTAP19-8			NM_001099219	"Keratin associated proteins"	ENSG00000206102
KRTAP19-9P	KRTAP19P1	KAP19A		"Keratin associated proteins"	ENSG00000237841
KRTAP19-10P	KRTAP19P2	KAP19B		"Keratin associated proteins"	ENSG00000235312
KRTAP19-11P	KRTAP19P3	KAP19C		"Keratin associated proteins"	ENSG00000236612
KRTAP19P4~withdrawn				"Keratin associated proteins"	
KRTAP20-1		KAP20.1		"Keratin associated proteins"	ENSG00000244624
KRTAP20-2		KAP20.2		"Keratin associated proteins"	ENSG00000184032
KRTAP20-3	KRTAP19P4	KAP20.3, KAP19D	NM_001128077	"Keratin associated proteins"	ENSG00000206104
KRTAP20-4		KAP20.4	NR_023342	"Keratin associated proteins"	ENSG00000206105
KRTAP21-1		KAP21.1		"Keratin associated proteins"	ENSG00000187005
KRTAP21-2		KAP21.2		"Keratin associated proteins"	ENSG00000187026
KRTAP21-3			XM_002343741	"Keratin associated proteins"	ENSG00000231068
KRTAP21-4P	KRTAP21P1	KAP21A		"Keratin associated proteins"	
KRTAP22-1		KAP22.1		"Keratin associated proteins"	ENSG00000186924
KRTAP22-2		KAP22.2	XM_002343740	"Keratin associated proteins"	ENSG00000206106
KRTAP23-1		KAP23.1		"Keratin associated proteins"	ENSG00000186980
KRTAP24-1		KAP24.1	NM_001085455	"Keratin associated proteins"	ENSG00000188694
KRTAP25-1		KAP25.1	NM_001128598	"Keratin associated proteins"	ENSG00000232263
KRTAP26-1			NM_203405	"Keratin associated proteins"	ENSG00000197683
KRTAP27-1			NM_001077711	"Keratin associated proteins"	ENSG00000206107
KRTAP29-1		KAP29.2		"Keratin associated proteins"	ENSG00000212658
KRTCAP2		KCP2	NM_173852		ENSG00000163463
KRTCAP3		KCP3	NM_173853		ENSG00000157992
KRTDAP		KDAP, UNQ467			ENSG00000188508
KRTL1~withdrawn					
KSR1	KSR	RSU2			ENSG00000141068
KSR2		FLJ25965	NM_173598		ENSG00000171435
KSS					
KTI12		TOT4, MGC20419, SBBI81	NM_138417		ENSG00000198841
KTN1		KIAA0004, CG1			ENSG00000126777
KTN1-AS1	C14orf33		NR_027123	"ncRNAs / Long non-coding RNAs"	ENSG00000186615
KWE					
KXD1	C19orf50	FLJ25480, MGC2749, KXDL	NM_024069		ENSG00000105700
KY		FLJ33207	NM_178554		ENSG00000174611
KYNU			NM_001032998		ENSG00000115919
KYNUP1					ENSG00000242495
KYNUP2					ENSG00000237535
KYNUP3					ENSG00000237830
L1CAM	HSAS1, SPG1, HSAS, MASA, MIC5, S10	CD171	NM_024003	"CD molecules"	ENSG00000198910
L1RE1	LRE1	L1.2			
L1RE2	LRE4, LRE2				
L1RE3		LRE3			
L1RE4					
L1TD1		FLJ10884, ECAT11	NM_019079		ENSG00000240563
L2HGDH	C14orf160	FLJ12618	NM_024884		ENSG00000087299
L3MBTL1	L3MBTL	dJ138B7.3, DKFZp586P1522, KIAA0681	NM_032107		ENSG00000185513
L3MBTL2		H-l(3)mbt-l, DKFZP761I141, dJ756G23.3	NM_031488		ENSG00000100395
L3MBTL3		KIAA1798	XM_027074		ENSG00000198945
L3MBTL4		FLJ35936, HsT1031	NM_173464		ENSG00000154655
LACC1	C13orf31	FLJ38725	NM_153218		ENSG00000179630
LACE1		AFG1	NM_145315		ENSG00000135537
LACRT		LACRITIN	NM_033277		ENSG00000135413
LACTB	MRPL56	FLJ14902	NM_032857		ENSG00000103642
LACTB2		CGI-83	NM_016027		ENSG00000147592
LACTBL1			XM_002342035.1		ENSG00000215906
LAD1			NM_005558		ENSG00000159166
LAD~withdrawn					
LAG1~withdrawn					
LAG2~withdrawn					
LAG3		CD223		"CD molecules"	ENSG00000089692
LAGE3		ITBA2, CVG5, DXS9951E, DXS9879E, ESO3	NM_006014		ENSG00000196976
LAIR1		CD305		"Leukocyte-associated Ig like receptors", "CD molecules"	ENSG00000167613
LAIR2		CD306		"Leukocyte-associated Ig like receptors", "CD molecules"	ENSG00000167618
LAKLG	LAKL				
LALBA		LYZL7	NM_002289		ENSG00000167531
LAMA1	LAMA		NM_005559		ENSG00000101680
LAMA2	LAMM				ENSG00000196569
LAMA3	LAMNA	nicein-150kDa, kalinin-165kDa, BM600-150kDa, epiligrin	NM_000227, NM_198129		ENSG00000053747
LAMA4		LAMA3	NM_001105206		ENSG00000112769
LAMA5			NM_005560		ENSG00000130702
LAMB1	CLM		NM_002291		ENSG00000091136
LAMB2	LAMS		NM_002292		ENSG00000172037
LAMB2P1	LAMB2L		NR_004405		
LAMB2T~withdrawn					
LAMB3	LAMNB1	nicein-125kDa, kalinin-140kDa, BM600-125kDa	NM_000228		ENSG00000196878
LAMB4			XM_209857		ENSG00000091128
LAMC1	LAMB2		NM_002293		ENSG00000135862
LAMC2	EBR2, LAMB2T, LAMNB2, EBR2A	nicein-100kDa, kalinin-105kDa, BM600-100kDa	NM_005562		ENSG00000058085
LAMC3		DKFZp434E202	NM_006059		ENSG00000050555
LAMM~withdrawn					
LAMNA~withdrawn					
LAMNB1~withdrawn					
LAMNB2~withdrawn					
LAMP1		CD107a		"CD molecules"	ENSG00000185896
LAMP1P1	LAMP1L1		NG_023963		
LAMP2		CD107b		"CD molecules"	ENSG00000005893
LAMP3		LAMP, TSC403, DC-LAMP, DCLAMP, CD208		"CD molecules"	ENSG00000078081
LAMP5	C20orf103	dJ1119D9.3, BAD-LAMP, UNC-43	NM_012261		ENSG00000125869
LAMS~withdrawn					
LAMTOR1	C11orf59	FLJ20625, p18, p27RF-Rho, Pdro, Ragulator1	NM_017907		ENSG00000149357
LAMTOR2	ROBLD3	MAPBPIP, MAPKSP1AP, p14, ENDAP, Ragulator2	NM_014017		ENSG00000116586
LAMTOR3	MAP2K1IP1, MAPKSP1	MP1, MAPBP, Ragulator3	NM_021970		ENSG00000109270
LAMTOR3P1					ENSG00000228825
LAMTOR3P2					ENSG00000248979
LANCL1	GPR69A	p40	NM_006055		ENSG00000115365
LANCL2	GPR69B	TASP	NM_018697		ENSG00000132434
LANCL3		FLJ42925	NM_198511		ENSG00000147036
LAP3	PEPS	LAPEP, LAP			ENSG00000002549
LAP3P1					ENSG00000220091
LAP3P2					ENSG00000213500
LAPTM4A	MBNT	HUMORF13, KIAA0108, Mtrp, LAPTM4	NM_014713		ENSG00000068697
LAPTM4B		LC27			ENSG00000104341
LAPTM5			NM_006762		ENSG00000162511
LARGE		KIAA0609	NM_133642		ENSG00000133424
LARGE-IT1				"ncRNAs / Long non-coding RNAs"	ENSG00000232081
LARP1		LARP, KIAA0731, MGC19556	NM_033551	"La ribonucleoprotein domain containing"	ENSG00000155506
LARP1B	LARP2	FLJ10378, DKFZp434K245, DKFZp686E0316	NM_018078	"La ribonucleoprotein domain containing"	ENSG00000138709
LARP4		PP13296	NM_052879	"La ribonucleoprotein domain containing"	ENSG00000161813
LARP4B	KIAA0217, LARP5		NM_015155	"La ribonucleoprotein domain containing"	ENSG00000107929
LARP4P				"La ribonucleoprotein domain containing"	ENSG00000261315
LARP6		acheron, FLJ11196	NM_018357	"La ribonucleoprotein domain containing"	ENSG00000166173
LARP7		HDCMA18P, PIP7S, DKFZP564K112	NM_016648	"La ribonucleoprotein domain containing"	ENSG00000174720
LARS		HSPC192, FLJ10595, FLJ21788, LARS1, LEUS, RNTLS	NM_020117	"Aminoacyl tRNA synthetases / Class I"	ENSG00000133706
LARS2		KIAA0028, LEURS, MGC26121	NM_015340	"Aminoacyl tRNA synthetases / Class I"	ENSG00000011376
LARS2-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000232455
LAS1L		FLJ12525	NM_031206		ENSG00000001497
LASP1		MLN50, Lasp-1	NM_006148		ENSG00000002834
LAT		LAT1			ENSG00000213658
LAT2	WBSCR15, WBSCR5	WSCR5, HSPC046, LAB, NTAL			ENSG00000086730
LATS1		WARTS	NM_004690		ENSG00000131023
LATS2					ENSG00000150457
LATS2-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000233851
LAX1		LAX, FLJ20340	NM_017773		ENSG00000122188
LAYN		FLJ30977, FLJ31092	NM_178834		ENSG00000204381
LBC~withdrawn					
LBH			NM_030915		ENSG00000213626
LBP		BPIFD2	NM_004139	"BPI fold containing"	ENSG00000129988
LBR		DHCR14B	NM_002296		ENSG00000143815
LBX1		LBX1H, HPX6	NM_006562	"Homeoboxes / ANTP class : NKL subclass"	ENSG00000138136
LBX2			NM_001009812	"Homeoboxes / ANTP class : NKL subclass"	ENSG00000179528
LCA3~withdrawn					
LCA4~withdrawn					
LCA5	C6orf152		NM_181714		ENSG00000135338
LCA5L	C21orf13	MGC33295	NM_152505		ENSG00000157578
LCA9					
LCAT					ENSG00000213398
LCA~withdrawn					
LCCS1~withdrawn					
LCCS2~withdrawn					
LCD1~withdrawn					
LCE1A		LEP1	NM_178348	"Late cornified envelopes"	ENSG00000186844
LCE1B	SPRL2A	LEP2	NM_178349	"Late cornified envelopes"	ENSG00000196734
LCE1C		LEP3	NM_178351	"Late cornified envelopes"	ENSG00000197084
LCE1D		LEP4	NM_178352	"Late cornified envelopes"	ENSG00000172155
LCE1E		LEP5	NM_178353	"Late cornified envelopes"	ENSG00000186226
LCE1F		LEP6	NM_178354	"Late cornified envelopes"	ENSG00000240386
LCE2A		LEP9	NM_178428	"Late cornified envelopes"	ENSG00000187173
LCE2B	SPRL1B	LEP10, XP5	NM_014357	"Late cornified envelopes"	ENSG00000159455
LCE2C		LEP11	NM_178429	"Late cornified envelopes"	ENSG00000187180
LCE2D	SPRL1A	LEP12	NM_178430	"Late cornified envelopes"	ENSG00000187223
LCE3A		LEP13	NM_178431	"Late cornified envelopes"	ENSG00000185962
LCE3B		LEP14	NM_178433	"Late cornified envelopes"	ENSG00000187238
LCE3C	SPRL3A	LEP15	NM_178434	"Late cornified envelopes"	ENSG00000244057
LCE3D	SPRL6B, SPRL6A	LEP16	NM_032563	"Late cornified envelopes"	ENSG00000163202
LCE3E		LEP17	NM_178435	"Late cornified envelopes"	ENSG00000185966
LCE4A	SPRL4A	LEP8	NM_178356	"Late cornified envelopes"	ENSG00000187170
LCE5A	SPRL5A	LEP18	NM_178438	"Late cornified envelopes"	ENSG00000186207
LCE6A	C1orf44			"Late cornified envelopes"	ENSG00000235942
LCEP1				"Late cornified envelopes"	
LCEP2				"Late cornified envelopes"	
LCEP3				"Late cornified envelopes"	
LCEP4				"Late cornified envelopes"	
LCK			NM_005356		ENSG00000182866
LCLAT1	LYCAT	FLJ37965, ALCAT1, AGPAT8	NM_182551		ENSG00000172954
LCMT1		CGI-68, PPMT1			ENSG00000205629
LCMT2		KIAA0547, MGC9534, TYW4, PPM2	NM_014793		ENSG00000168806
LCN1		VEGP, TP, PMFA, MGC71975, TLC	NM_002297	"Lipocalins"	ENSG00000160349
LCN1P1	LCN1L1	bA430N14.2	NG_022883		ENSG00000119440
LCN1P2	LCN1L2	bA244N20.11	NG_009693		ENSG00000204031
LCN2		NGAL, 24p3	NM_005564	"Lipocalins"	ENSG00000148346
LCN5~withdrawn					
LCN6			NM_198946	"Lipocalins"	ENSG00000204003
LCN8	LCN5		NM_178469	"Lipocalins"	ENSG00000204001
LCN9			NM_001001676	"Lipocalins"	ENSG00000148386
LCN10			NM_001001712	"Lipocalins"	ENSG00000187922
LCN12		MGC48935	NM_178536	"Lipocalins"	ENSG00000184925
LCN15		UNQ2541, PRO6093	NM_203347	"Lipocalins"	ENSG00000177984
LCNL1		FLJ45224	NM_207510		ENSG00000214402
LCO					
LCOR		MLR2, FLJ38026, KIAA1795			ENSG00000196233
LCORL		MLR1, FLJ30696	NM_153686		ENSG00000178177
LCP1		PLS2, CP64, L-PLASTIN, LC64P	NM_002298		ENSG00000136167
LCP2	SLP76	SLP-76	NM_005565		ENSG00000043462
LCS1		CHSL, LCS			
LCT			NM_002299		ENSG00000115850
LCTL		KLPH, FLJ33279, KLG	NM_207338		ENSG00000188501
LDB1		NLI, CLIM2	NM_001113407		ENSG00000198728
LDB2		CLIM1, LDB1			ENSG00000169744
LDB3		PDLIM6, KIAA0613, ZASP			ENSG00000122367
LDC~withdrawn					
LDHA			NM_005566		ENSG00000134333
LDHAL6A		MGC23940, LDH6A	NM_144972		ENSG00000166800
LDHAL6B	LDHAL6	LDHL, LDH6B	NM_033195		ENSG00000171989
LDHAP1	LDHAL1		NG_003016		ENSG00000251587
LDHAP2	LDHAL2				ENSG00000235674
LDHAP3	LDHAL3		NG_009318		ENSG00000236090
LDHAP4	LDHAL4		NG_001313		ENSG00000214110
LDHAP5	LDHAL5		NG_008632		ENSG00000213574
LDHAP7	LDHAL7		NG_008634		ENSG00000235847
LDHB			NM_002300		ENSG00000111716
LDHBP1	LDHBL1		NG_021974		ENSG00000232662
LDHBP2	LDHBP, LDHBL2		NG_001155		ENSG00000213684
LDHBP3			NG_016809		ENSG00000248950
LDHC		CT32	NM_017448		ENSG00000166796
LDHD			NM_153486		ENSG00000166816
LDLR					ENSG00000130164
LDLRAD1			NM_001010978		ENSG00000203985
LDLRAD2			NM_001013693		ENSG00000187942
LDLRAD3			NM_174902		ENSG00000179241
LDLRAP1		ARH, ARH2, FHCB1, FHCB2, MGC34705, DKFZp586D0624	NM_015627		ENSG00000157978
LDOC1	BCUR1	Mar7, Mart7	NM_012317		ENSG00000182195
LDOC1L		dJ1033E15.2, DKFZp761O17121, Mart6, Mar6	NM_032287		ENSG00000188636
LD~withdrawn					
LEAP2		LEAP-2	NM_052971		ENSG00000164406
LECT1	MYETS1	CHM-I, CHM1, chondromodulin			ENSG00000136110
LECT2		chm-II, chm2	NM_002302		ENSG00000145826
LEF1		TCF1ALPHA, TCF10, TCF7L3			ENSG00000138795
LEFTY1	LEFTB	LEFTYB	NM_020997		ENSG00000243709
LEFTY2	TGFB4, EBAF	LEFTA, LEFTYA	NM_003240		ENSG00000143768
LEKR1		FLJ16641	NM_001004316		ENSG00000178110
LELP1			NM_001010857		ENSG00000203784
LEMD1		LEMP-1, CT50	NM_001001552		ENSG00000186007
LEMD2		dJ482C21.1, NET25	XM_166338		ENSG00000161904
LEMD3		MAN1			ENSG00000174106
LENEP		LEP503	NM_018655		ENSG00000163352
LENG1			NM_024316		ENSG00000105617
LENG3~withdrawn					
LENG6~withdrawn					
LENG7~withdrawn					
LENG8		KIAA1932, MGC40108, pp13842	NM_052925		ENSG00000167615
LENG8-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000226696
LENG9			NM_198988		ENSG00000182909
LENG10~withdrawn					
LENG11~withdrawn					
LEO1			NM_138792		ENSG00000166477
LEP	OBS, OB				ENSG00000174697
LEPR		OBR, CD295	NM_002303	"CD molecules"	ENSG00000116678
LEPRE1		GROS1, P3H1, LEPRECAN, MGC117314	NM_022356		ENSG00000117385
LEPREL1		FLJ10718, MLAT4, P3H2	NM_018192		ENSG00000090530
LEPREL1-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000225764
LEPREL2		GRCB, HSU47926, P3H3	NM_014262		ENSG00000110811
LEPREL4		SC65, NO55			ENSG00000141696
LEPROT		OBRGRP, OB-RGRP, VPS55, FLJ90360	NM_017526		ENSG00000213625
LEPROTL1		my047, Vps55			ENSG00000104660
LETM1					ENSG00000168924
LETM1P1					
LETM1P2					
LETM1P3					
LETM2		FLJ25409	NM_144652		ENSG00000165046
LETMD1		HCCR1	NM_015416		ENSG00000050426
LEU1~withdrawn					
LEU7~withdrawn					
LEUTX			XM_001129035	"Homeoboxes / PRD class"	ENSG00000213921
LE~withdrawn					
LFA3~withdrawn					
LFNG		SCDO3	NM_002304		ENSG00000106003
LGALS1		GBP	NM_002305	"Beta-galactoside-binding lectins"	ENSG00000100097
LGALS2		HL14	NM_006498	"Beta-galactoside-binding lectins"	ENSG00000100079
LGALS3	LGALS2	MAC-2, GALIG	NM_002306	"Beta-galactoside-binding lectins"	ENSG00000131981
LGALS3BP		MAC-2-BP, 90K, BTBD17B	NM_005567		ENSG00000108679
LGALS4		GAL4	NM_006149	"Beta-galactoside-binding lectins"	ENSG00000171747
LGALS7		GAL7, PIG1, TP53I1, LGALS7A	NM_002307	"Beta-galactoside-binding lectins"	ENSG00000205076
LGALS7B		GAL7		"Beta-galactoside-binding lectins"	ENSG00000178934
LGALS8		PCTA-1	NM_006499	"Beta-galactoside-binding lectins"	ENSG00000116977
LGALS8-AS1				"ncRNAs / Long non-coding RNAs"	ENSG00000223776
LGALS9		LGALS9A	NM_009587	"Beta-galactoside-binding lectins"	ENSG00000168961
LGALS9B			NM_001042685	"Beta-galactoside-binding lectins"	ENSG00000170298
LGALS9C			NM_001040078	"Beta-galactoside-binding lectins"	ENSG00000171916
LGALS12		GRIP1	NM_033101	"Beta-galactoside-binding lectins"	ENSG00000133317
LGALS13		PP13, PLAC8	NM_013268	"Beta-galactoside-binding lectins"	ENSG00000105198
LGALS14		PPL13, CLC2	NM_020129	"Beta-galactoside-binding lectins"	ENSG00000006659
LGALS16				"Beta-galactoside-binding lectins"	ENSG00000249861
LGALSL		HSPC159, GRP	NM_014181		ENSG00000119862
LGCR~withdrawn					
LGI1	EPT	IB1099, ETL1, EPITEMPIN	NM_005097		ENSG00000108231
LGI2		KIAA1916, FLJ10675			ENSG00000153012
LGI3					ENSG00000168481
LGI4					ENSG00000153902
LGMD1A~withdrawn					
LGMD1B~withdrawn					
LGMD1D					
LGMD1F					
LGMD1G					
LGMD1H					
LGMD1~withdrawn					
LGMD2A~withdrawn					
LGMD2B~withdrawn					
LGMD2C~withdrawn					
LGMD2G~withdrawn					
LGMD2H~withdrawn					
LGMD2L					
LGMD2~withdrawn					
LGMN	PRSC1	LGMN1	NM_005606		ENSG00000100600
LGMNP1	LGMN2P		NG_001534		ENSG00000214269
LGR4	GPR48		NM_018490	"G protein-coupled receptors"	ENSG00000205213
LGR5	GPR67, GPR49	HG38, FEX	NM_003667	"G protein-coupled receptors"	ENSG00000139292
LGR6		FLJ14471	NM_021636		ENSG00000133067
LGSN	GLULD1	LGS	NM_016571		ENSG00000146166
LGTN					
LHB		LSH-B, CGB4, hLHB	NM_000894		ENSG00000104826
LHCGR	HHG	LHR, LCGR, LGR2, ULG5	NM_000233.3		ENSG00000138039
LHFP		MGC22429	NM_005780		ENSG00000183722
LHFPL1			NM_178175		ENSG00000182508
LHFPL2		KIAA0206	NM_005779		ENSG00000145685
LHFPL3	LHFPL4		NM_199000		ENSG00000187416
LHFPL4			NM_198560		ENSG00000156959
LHFPL4~withdrawn					
LHFPL5	DFNB67	MGC33835, dJ510O8.8, Tmhs	NM_182548		ENSG00000197753
LHON					
LHPP		HDHD2B	NM_022126		ENSG00000107902
LHRH~withdrawn					
LHX1		LIM-1, LIM1	NM_005568	"Homeoboxes / LIM class"	ENSG00000132130
LHX2		LH-2, hLhx2		"Homeoboxes / LIM class"	ENSG00000106689
LHX3				"Homeoboxes / LIM class"	ENSG00000107187
LHX4		Gsh4	NM_033343	"Homeoboxes / LIM class"	ENSG00000121454
LHX5			NM_022363	"Homeoboxes / LIM class"	ENSG00000089116
LHX6		LHX6.1	NM_014368	"Homeoboxes / LIM class"	ENSG00000106852
LHX8		Lhx7	NM_001001933	"Homeoboxes / LIM class"	ENSG00000162624
LHX9			NM_020204	"Homeoboxes / LIM class"	ENSG00000143355
LIAS		LAS	NM_194451		ENSG00000121897
LIF		CDF, DIA, HILDA	NM_002309		ENSG00000128342
LIFR		CD118	NM_002310	"CD molecules"	ENSG00000113594
LIFR-AS1					ENSG00000244968
LIG1			NM_000234		ENSG00000105486
LIG2~withdrawn					
LIG3	LIG2		NM_013975		ENSG00000005156
LIG4			NM_002312		ENSG00000174405
LILRA1		LIR-6, CD85i, LIR6	NM_006863	"Leukocyte immunoglobulin-like receptors", "CD molecules"	ENSG00000104974
