Approved Symbol	RefSeq IDs
PADI1	NM_013358
PADI4	NM_012387
PADI6	NM_207421
PAEP	NM_001018049
PAF1	NM_019088
PAFAH1B1	NM_000430
PAFAH1B2	NM_002572
PAFAH1B3	NM_002573
PAFAH2	NM_000437
PAG1	NM_018440
PAGE2	NM_207339
PAGE2B	XM_372224
PAGE3	XM_060054
PAGE5	NM_130467
PAICS	NM_006452
PAICSP2	NG_005829
PAICSP3	NG_005824
PAICSP4	NG_005827
PAICSP5	NG_005825
PAICSP7	NG_005830
PAIP1	NM_006451
PAIP2	NM_016480
PAIP2B	XM_376062
PAK1	NM_002576
PAK1IP1	NM_017906
PAK2	NM_002577
PAK3	NM_002578
PALB2	NM_024675
PALLD	NM_016081
PALM	NM_002579
PALM2	NM_001037293
PALM3	NM_001145028
PALMD	NM_017734
PAM	NM_000919
PAM16	NM_016069
PAMR1	NM_015430
PAN2	NM_014871
PAN3	NM_175854
PAN3-AS1	NR_029383
PANK2	NM_024960
PANK3	NM_024594
PANX1	NM_015368
PANX2	NM_052839
PAOX	NM_152911
PAPD4	NM_173797
PAPD5	NM_022447
PAPD7	NM_006999
PAPLN	NM_173462
PAPOLB	NM_020144
PAPOLG	NM_022894
PAPPA	NM_002581
PAPPA-AS1	XR_041634
PAQR3	NM_177453
PAQR4	NM_152341
PAQR5	NM_017705
PAQR6	NM_024897
PAQR7	NM_178422
PAQR8	NM_133367
PAQR9	NM_198504
PARD3	NM_019619
PARD3B	NM_057177
PARD6A	NM_016948
PARD6B	NM_032521
PARD6G	NM_032510
PARK7	NM_007262
PARL	NM_018622
PARM1	NM_015393
PARN	NM_002582
PARP1	NM_001618
PARP1P1	NG_002655
PARP3	NM_005485.4
PARP4	NM_006437
PARP4P1	NG_002802
PARP4P2	NG_011399
PARP6	NM_020214
PARP8	NM_024615
PARP9	NM_031458
PARP10	NM_032789
PARP12	NM_022750
PARP14	NM_017554
PARP15	NM_152615
PARP16	NM_017851
PARPBP	NM_017915
PARS2	NM_152268
PART1	NR_024617
PARVA	NM_018222
PARVB	NM_001003828
PARVG	NM_022141
PASD1	NM_173493
PASK	NM_015148
PATE1	NM_138294
PATE2	NM_212555
PATE3	NM_001129883
PATE4	NM_001144874
PATL1	NM_152716
PATL2	NM_001145112
PATZ1	NM_032052
PAWR	NM_002583
PAX6	NM_001604
PAX7	NM_002584
PAXIP1	NM_007349
PBK	NM_018492
PBLD	NM_022129
PBOV1	NM_021635
PBRM1	NM_018165
PBX1	NM_002585
PBX2P1	NG_002434
PBXIP1	NM_020524
PCA3	NR_015342
PCAT1	NR_045262
PCBD1	NM_000281
PCBD2	NM_032151
PCBP1	NM_006196
PCBP1-AS1	NR_033872
PCBP2	NM_005016
PCBP2P1	NG_000916
PCBP4	NM_020418
PCDH1	NM_032420
PCDH7	NM_032457, NM_002589
PCDH8	NM_002590
PCDH9	NM_203487
PCDH10	NM_032961
PCDH11X	NM_032969
PCDH11Y	NM_032973
PCDH12	NM_016580
PCDH15	NM_033056
PCDH17	NM_001040429
PCDH18	NM_019035
PCDH19	NM_020766
PCDH20	NM_022843
PCDHA1	NM_018900
PCDHA2	NM_018905
PCDHA3	NM_018906
PCDHA4	NM_018907
PCDHA5	NM_018908
PCDHA6	NM_018909
PCDHA7	NM_018910
PCDHA8	NM_018911
PCDHA9	NM_031857
PCDHA10	NM_018901
PCDHA11	NM_018902
PCDHA12	NM_018903
PCDHA13	NM_018904
PCDHAC1	NM_018898
PCDHAC2	NM_018899
PCDHB1	NM_013340
PCDHB2	NM_018936
PCDHB3	NM_018937
PCDHB4	NM_018938
PCDHB5	NM_015669
PCDHB6	NM_018939
PCDHB7	NM_018940
PCDHB8	NM_019120
PCDHB9	NM_019119
PCDHB10	NM_018930
PCDHB11	NM_018931
PCDHB12	NM_018932
PCDHB13	NM_018933
PCDHB14	NM_018934
PCDHB15	NM_018935
PCDHB16	NM_020957
PCDHGA1	NM_018912
PCDHGA2	NM_018915
PCDHGA3	NM_018916
PCDHGA4	NM_018917
PCDHGA5	NM_018918
PCDHGA6	NM_018919
PCDHGA7	NM_018920
PCDHGA8	NM_032088
PCDHGA9	NM_018921
PCDHGA10	NM_018913
PCDHGA11	NM_018914
PCDHGA12	NM_003735
PCDHGB1	NM_018922
PCDHGB2	NM_018923
PCDHGB3	NM_018924
PCDHGB4	NM_003736
PCDHGB5	NM_018925
PCDHGB6	NM_018926
PCDHGB7	NM_018927
PCDHGC3	NM_002588
PCDHGC4	NM_018928
PCDHGC5	NM_018929
PCF11	NM_015885
PCGEM1	NR_002769
PCGF1	NM_032673
PCGF2	NM_007144
PCGF3	NM_006315
PCGF5	NM_032373
PCGF6	NM_032154
PCGF7P	NG_003076
PCID2	NM_018386
PCIF1	NM_022104
PCK2	NM_001018073
PCLO	NM_014510
PCM1	NM_006197
PCMTD1	NM_052937
PCMTD2	NM_018257
PCNAP1	NG_002902
PCNAP2	NG_002901
PCNAP3	NG_022595
PCNAP4	NG_021777
PCNP	NM_020357
PCNT	NM_006031
PCNX	NM_014982
PCNXL2	NM_014801
PCNXL3	NM_032223
PCOLCE	NM_002593
PCOLCE2	NM_013363
PCP2	XM_058956
PCP4	NM_006198
PCSK1	NM_000439
PCSK1N	NM_013271
PCSK2	NM_002594
PCSK4	NM_017573
PCSK6	NM_002570
PCSK7	NM_004716
PCSK9	NM_174936
PCTP	NM_021213
PCYOX1	NM_016297
PCYOX1L	NM_024028
PCYT1A	NM_005017
PCYT1B	NM_004845
PCYT2	NM_002861
PDAP1	NM_014891
PDC	NM_022577
PDCD1LG2	NM_025239
PDCD2	NM_002598
PDCD2L	NM_032346
PDCD4	NM_014456
PDCD5	NM_004708
PDCD6	NM_013232
PDCD7	NM_005707
PDCD10	NM_007217
PDCL	NM_005388
PDCL2	NM_152401
PDCL3	NM_024065
PDDC1	NM_182612
PDE2A	NM_002599
PDE3B	NM_000922
PDE4B	NM_002600
PDE4DIP	NM_022359
PDE5A	NM_001083
PDE6B	NM_000283
PDE6C	NM_006204
PDE8A	NM_002605
PDE8B	NM_003719
PDE12	NM_177966
PDF	NM_022341
PDGFB	NM_002608
PDGFD	NM_025208
PDGFRA	NM_006206
PDGFRB	NM_002609
PDGFRL	NM_006207
PDHX	NM_003477
PDIA2	NM_006849
PDIA3	NM_005313
PDIA4	NM_004911
PDIA5	NM_006810
PDIA6	NM_005742
PDIK1L	NM_152835
PDILT	NM_174924
PDK1	NM_002610
PDK2	NM_002611
PDK3	NM_005391
PDK4	NM_002612
PDLIM3	NM_014476
PDLIM4	NM_003687
PDLIM7	NM_005451
PDP1	NM_018444
PDP2	NM_020786
PDPN	NM_006474
PDPR	NM_017990
PDRG1	NM_030815
PDS5A	NM_015200
PDS5B	NM_015032
PDSS2	NM_020381
PDX1	NM_000209
PDXDC1	NM_015027
PDXK	NM_003681
PDXP	NM_020315
PDZD3	NM_024791
PDZD4	NM_032512
PDZD7	NM_024895
PDZD8	NM_173791
PDZD9	NM_173806
PDZD11	NM_016484
PDZK1	NM_002614
PDZK1IP1	NM_005764
PDZRN3	XM_041363
PDZRN4	NM_013377
PEA15	NM_003768
PEAR1	NM_001080471
PEBP1	NM_002567
PEBP4	NM_144962
PECAM1	NM_000442
PECR	NM_018441
PEF1	NM_012392
PEG3-AS1	NR_023847
PEG10	NM_015068
PELI1	NM_020651
PELI3	NM_145065
PELO	NM_015946
PELP1	NM_014389
PEMT	NM_007169
PEPD	NM_000285
PER2	NM_022817
PER3	NM_016831
PERP	NM_022121
PES1	NM_014303
PEX1	NM_000466
PEX2	NM_000318
PEX5	NM_000319
PEX5L	NM_016559
PEX6	NM_000287
PEX7	NM_000288
PEX10	NM_153818
PEX11A	NM_003847
PEX11B	NM_003846
PEX11G	NM_080662
PEX12	NM_000286
PEX13	NM_002618
PEX16	NM_057174
PEX19	NM_002857
PEX26	NM_017929
PFDN1	NM_002622
PFDN2	NM_012394
PFDN4	NM_002623
PFDN6	NM_014260
PFKFB4	NM_004567
PFKM	NM_000289
PFKP	NM_002627
PFN1	NM_005022
PFN2	NM_002628
PFN3	NM_001029886
PFN4	NM_199346
PGA3	NM_001079807
PGA4	NM_001079808
PGA5	NM_014224
PGAM1	NM_002629
PGAM4	NM_001029891
PGAM5	NM_138575
PGAP1	NM_024989
PGAP3	NM_033419
PGBD3P3	NG_002402
PGBD5	NM_024554
PGCP1	NR_029429
PGD	NM_002631
PGDP1	NG_022489
PGDP2	NG_021727
PGGT1B	NM_005023
PGLYRP1	NM_005091
PGLYRP2	NM_052890
PGLYRP3	NM_052891
PGLYRP4	NM_020393
PGM1	NM_002633
PGM2	NM_018290
PGM2L1	NM_173582
PGM3	NM_015599
PGM5	NM_021965
PGM5P2	NR_002836
PGP	NM_024118
PGPEP1	NM_017712
PGPEP1L	NM_001102612.2
PGRMC1	NM_006667
PGS1	NM_024419
PHACTR1	XM_166420
PHACTR2	NM_014721
PHACTR3	NM_080672
PHACTR4	NM_023923
PHAX	NM_032177
PHB	NM_002634
PHB2	NM_007273
PHC1	NM_004426
PHC1P1	XM_934166
PHC2	NM_198040
PHC3	NM_024947
PHEX	NM_000444
PHF2	NM_005392
PHF2P1	NR_002801
PHF5A	NM_032758
PHF5CP	NG_004711
PHF5DP	NG_005422
PHF5EP	NG_005423
PHF5FP	NG_005424
PHF5GP	NG_005421
PHF5HP	NG_005425
PHF6	NM_032458
PHF7	NM_016483
PHF8	NM_015107
PHF10	NM_018288
PHF10P1	NG_001314
PHF11	NM_016119
PHF12	NM_020889
PHF13	NM_153812
PHF14	NM_014660
PHF15	NM_015288
PHF16	NM_014735
PHF17	NM_024900
PHF19	XM_045308
PHF20	NM_016436
PHF20L1	NM_016018
PHF21A	NM_016621
PHF21B	NM_138415
PHF23	NM_024297
PHGDH	NM_006623
PHGR1	NM_001145643
PHKA2	NM_000292
PHKBP2	NG_001173
PHKG1	NM_006213
PHKG2	NM_000294
PHLDA1	NM_007350
PHLDA2	NM_003311
PHLDA3	NM_012396
PHLDB1	NM_015157
PHLDB2	NM_145753
PHLPP1	NM_194449
PHLPP2	NM_015020
PHOSPHO2	NM_001008489
PHOX2A	NM_005169
PHPT1	NM_014172
PHRF1	NM_020901
PHTF1	NM_006608
PHTF2	NM_020432
PHYHD1	NM_174933
PHYHIP	NM_014759
PHYHIPL	NM_032439
PI3	NM_002638
PI4K2A	NM_018425
PI4K2B	NM_018323
PI4KA	NM_058004
PI4KB	NM_002651
PI15	NM_015886
PI16	NM_153370
PIAS2	NM_004671
PIAS3	NM_006099
PIAS4	NM_015897
PIBF1	NM_006346
PICALM	NM_007166
PICK1	NM_012407
PID1	NM_017933
PIDD	NM_145886
PIEZO1	NM_014745
PIEZO1P1	NG_011695
PIEZO2	NM_022068
PIF1	NM_025049
PIGA	NM_002641
PIGAP1	NG_001174
PIGC	NM_153747
PIGCP1	NG_001175
PIGF	NM_173074
PIGFP1	NG_001176
PIGG	NM_017733
PIGK	NM_005482
PIGO	NM_032634
PIGQ	NM_004204
PIGR	NM_002644
PIGS	NM_033198
PIGT	NM_015937
PIGU	NM_080476
PIGV	NM_017837
PIGX	NM_017861
PIGY	NM_032906
PIGZ	NM_025163
PIH1D1	NM_017916
PIH1D2	NM_138789
PIK3AP1	NM_152309
PIK3C2A	NM_002645
PIK3C2B	NM_002646
PIK3C2G	NM_004570
PIK3C3	NM_002647
PIK3CD	NM_005026
PIK3IP1	NM_052880
PIK3R1	NM_181504
PIK3R2	NM_005027
PIK3R3	NM_003629
PIK3R4	NM_014602
PIK3R5	NM_014308
PIKFYVE	NM_015040
PILRA	NM_013439
PILRB	NM_013440
PIM3	NM_001001852
PIN1P1	NR_023916
PIN4	NM_006223
PINK1	NM_032409
PINX1	NM_017884
PION	NM_017439
PIP	NM_002652
PIP4K2A	NM_005028
PIP4K2B	NM_003559
PIP4K2C	NM_024779
PIP5K1A	NM_003557
PIP5K1B	NM_003558
PIP5K1C	NM_012398
PIP5K1P1	NR_027712.1
PIP5KL1	NM_173492
PIPOX	NM_016518
PIPSL	NR_002319
PIR	NM_003662
PIRT	NM_001101387
PISRT1	NR_027070
PITHD1	NM_020362
PITPNC1	NM_012417
PITPNM1	NM_004910
PITPNM2	NM_020845
PITPNM3	NM_031220
PIWIL3	NM_001008496
PIWIL4	NM_152431
PJA1	NM_145119
PJA2	NM_014819
PKD1L1	NM_138295
PKD1L3	NM_181536
PKD1P1	NR_036447
PKD1P2	NG_002795
PKD1P3	NG_002796
PKD1P4	NG_002800
PKD1P5	NG_002798
PKD1P6	NG_002799
PKD2	NM_000297
PKD2L1	NM_016112
PKD2L2	NM_014386
PKDREJ	NM_006071
PKHD1	NM_138694
PKHD1L1	NM_177531
PKLR	NM_000298
PKMYT1	NM_004203
PKN1	NM_002741, NM_213560
PKN2	NM_006256
PKN3	NM_013355
PKP1	NM_000299
PKP2	NM_004572
PKP2P1	NG_000936
PKP3	NM_007183
PKP4P1	NG_021602
PLA2G2A	NM_000300
PLA2G2C	NM_001105572
PLA2G2E	NM_014589
PLA2G2F	NM_022819
PLA2G3	NM_015715
PLA2G4A	NM_024420
PLA2G4B	NM_001114633
PLA2G4D	NM_178034
PLA2G4E	NM_198442
PLA2G4F	NM_213600
PLA2G5	NM_000929
PLA2G6	NM_001004426
PLA2G10	NM_003561
PLA2G12AP1	NG_027094
PLA2G12AP2	NG_024917
PLA2G12B	NM_032562
PLA2G15	NM_012320
PLA2G16	NM_001128203
PLAA	NM_001031689
PLAC1	NM_021796
PLAC1L	NM_173801
PLAC2	NR_027064
PLAC4	NM_182832
PLAC8	NM_016619
PLAC8L1	XM_087761
PLAC9	NM_001012973
PLAG1	NM_002655
PLAGL2	NM_002657
PLAT	NM_000930
PLAU	NM_002658
PLBD1	NM_024829
PLBD2	NM_173542
PLCE1	NM_016341
PLCG1	NM_182811
PLCH1	NM_014996
PLCH2	NM_014638
PLCXD1	NM_018390
PLCXD2	NM_153268
PLCXD3	XM_293875
PLCZ1	NM_033123
PLD1	NM_002662
PLD2	NM_002663
PLD4	NM_138790
PLD5	NM_152666
PLD6	NM_178836
PLDN	NM_012388
PLEC	NM_000445
PLEK	NM_002664
PLEKHA1	NM_001001974
PLEKHA2	NM_021623
PLEKHA3	NM_019091
PLEKHA3P1	NG_000949
PLEKHA5	NM_019012
PLEKHA6	NM_014935
PLEKHA7	NM_175058
PLEKHA8	NM_032639
PLEKHA8P1	NR_037144
PLEKHB2	NM_017958
PLEKHD1	NM_001161498
PLEKHF1	NM_024310
PLEKHF2	NM_024613
PLEKHG2	NM_022835
PLEKHG3	NM_015549
PLEKHG4	NM_015432
PLEKHG4B	NM_052909
PLEKHG5	NM_020631
PLEKHG6	NM_018173
PLEKHG7	NM_001004330
PLEKHH1	XM_031054
PLEKHH2	NM_172069
PLEKHH3	NM_024927
PLEKHJ1	NM_018049
PLEKHM1	NM_014798
PLEKHM1P	NR_024386
PLEKHM2	NM_015164
PLEKHM3	NM_001080475
PLEKHN1	NM_032129
PLEKHO1	NM_016274
PLEKHO2	NM_025201
PLG	NM_000301
PLGLA	NR_003506.2
PLGLB2	NM_002665
PLIN1	NM_002666
PLIN2	NM_001122
PLIN3	NM_005817
PLIN4	XM_170901
PLIN5	NM_001013706
PLK1	NM_005030
PLK1S1	NM_018474
PLK2	NM_006622
PLK3	NM_004073
PLK5	NR_026557
PLN	NM_002667
PLOD1	NM_000302
PLOD2	NM_000935
PLP2	NM_002668
PLRG1	NM_002669
PLS1	NM_002670
PLSCR1	NM_021105
PLSCR2	NM_020359
PLSCR3	NM_020360
PLSCR4	NM_020353
PLSCR5	XM_371670
PLTP	NM_006227
PLVAP	NM_031310
PLXDC1	NM_020405
PLXDC2	NM_032812
PLXNA1	NM_032242
PLXNA2	NM_025179
PLXNA3	NM_017514
PLXNA4	NM_181775
PLXNB1	NM_002673
PLXNB2	NM_012401
PLXND1	NM_015103
PM20D1	NM_152491
PM20D2	NM_001010853
PMAIP1	NM_021127
PMCH	NM_002674
PMCHL1	NR_003921
PMCHL2	NR_003922
PMEL	NM_006928
PMEPA1	NM_020182
PMF1	NM_007221
PMFBP1	NM_031293
PML	NM_002675
PMM1	NM_002676
PMM2	NM_000303
PMP2	NM_002677
PMP22	NM_000304
PMPCA	NM_015160
PMPCB	NM_004279
PMS2	NM_000535
PMS2CL	NR_002217
PMS2P1	NR_003613
PMS2P2	NR_003614
PMS2P3	NR_028059
PMS2P4	NR_022007
PMS2P5	NR_027775
PMS2P9	NR_028058
PMS2P10	NG_023454
PMS2P12	NG_009900
PMVK	NM_006556
PNCK	NM_198452
PNISR	NM_032870
PNKP	NM_007254
PNLDC1	NM_173516
PNLIP	NM_000936
PNLIPRP1	NM_006229
PNLIPRP2	NM_005396
PNLIPRP3	XM_058404
PNMA1	NM_006029
PNMA2	NM_007257
PNMA3	NM_013364
PNMA5	NM_052926
PNMA6A	NM_032882
PNMAL1	NM_018215
PNMAL2	NM_020709
PNMT	NM_002686
PNN	NM_002687
PNO1	NM_020143
PNOC	NM_006228
PNP	NM_000270.2
PNPLA1	NM_173676
PNPLA2	NM_020376
PNPLA3	NM_025225
PNPLA4	NM_004650
PNPLA4P1	NG_024801
PNPLA5	NM_138814
PNPLA6	NM_006702
PNPLA7	NM_152286
PNPLA8	NM_015723
PNPLA10P	XM_927062
PNPO	NM_018129
PNPT1	NM_033109
PNRC1	NM_006813
PNRC2	NM_017761
POC1A	NM_015426
POC1B	NM_172240
POC5	NM_152408
PODN	NM_153703
PODNL1	NM_024825
PODXL	NM_001018111
PODXL2	NM_015720
POF1B	NM_024921
POGK	NM_017542
POGLUT1	NM_152305
POGZ	NM_207171
POLA1	NM_016937
POLA2	NM_002689
POLD2	NM_001127218
POLD2P1	NG_021890
POLD3	NM_006591
POLD4	NM_021173
POLDIP2	NM_015584
POLDIP3	NM_032311
POLE3	NM_017443
POLK	NM_016218
POLM	NM_013284
POLN	NM_181808
POLQ	NM_199420
POLR1A	NM_015425
POLR1B	NM_019014
POLR1C	NM_004875
POLR1D	NM_015972, NM_152705
POLR1E	NM_022490
POLR2B	NM_000938
POLR2C	NM_032940
POLR2D	NM_004805
POLR2E	NM_002695
POLR2F	NM_021974
POLR2G	NM_002696
POLR2H	NM_006232
POLR2I	NM_006233
POLR2J	NM_006234
POLR2J3	NM_001097615
POLR2J4	NR_003655
POLR2K	NM_005034
POLR2L	NM_021128
POLR3A	NM_007055
POLR3B	NM_018082
POLR3C	NM_006468
POLR3D	NM_001722
POLR3E	NM_018119
POLR3F	NM_006466
POLR3G	NM_006467
POLR3GL	NM_032305
POLR3H	NM_138338
POLR3K	NM_016310
POLR3KP1	NG_023354
POLR3KP2	NG_023353
POLRMT	NM_005035
POLRMTP1	NG_011773
POM121B	NG_013116.1
POM121C	NM_001099415
POM121L1P	NR_024591
POM121L2	NM_033482
POM121L3P	NM_152863
POM121L7	XR_037531
POM121L8P	NR_024583
POM121L9P	NM_014549
POM121L10P	NR_024593
POM121L11P	XM_001719478
POM121L12	NM_182595
POMC	NM_001035256
POMGNT1	NM_017739
POMP	NM_015932
POMT1	NM_007171
POMZP3	NM_012230
PON1	NM_000446
PON2	NM_000305
PON3	NM_000940
POP1	NM_015029
POP4	NM_006627
POP5	NM_015918
POP7	NM_005837
POPDC2	NM_022135
POPDC3	NM_022361
POR	NM_000941
PORCN	NM_022825
POSTN	NM_006475
POTEA	NM_001002920
POTEB	NM_207355
POTEC	XM_496269
POTED	NM_174981
POTEE	NM_001083538
POTEF	NM_001099771
POTEG	NM_001005356
POTEH	NM_001136213
POTEKP	XM_001723912
POTEM	NM_001145442
POU1F1	NM_000306
POU2AF1	NM_006235
POU2F1	NM_002697
POU3F1	NM_002699
POU3F4	NM_000307
POU4F2	NM_004575
POU4F3	NM_002700
POU5F1	NM_002701
POU5F1B	NM_001159542
POU5F1P2	NG_006103
POU5F2	NM_153216
POU6F1	NM_002702
POU6F2	NM_007252
PP1P	NG_002639
PP2D1	NM_144714
PPA1	NM_021129
PPA2	NM_176869
PPAN	NM_020230
PPAN-P2RY11	NM_001040664
PPAP2B	NM_003713
PPAPDC1A	XM_113641
PPAPDC1B	NM_032483
PPAPDC2	NM_203453
PPAPDC3	NM_032728
PPARA	NM_001001928
PPARD	NM_006238
PPARG	NM_005037
PPARGC1A	NM_013261
PPARGC1B	NM_133263
PPAT	NM_002703
PPBP	NM_002704
PPCDC	NM_021823
PPCS	NM_024664
PPEF1	NM_006240
PPEF2	NM_006239
PPFIA1	NM_003626
PPFIA3	NM_003660
PPFIA4	NM_015053
PPFIBP1	NM_003622
PPFIBP2	NM_003621
PPHLN1	NM_201515
PPIA	NM_021130
PPIAL4A	NM_178230
PPIAL4D	NM_001164261
PPIAL4F	NM_001164262
PPIAL4G	NM_001123068
PPIAP9	NG_001025
PPIAP10	NG_001008
PPIAP17	NG_001049
PPIAP21	NG_001566
PPIAP22	NG_005752
PPIAP28	NG_011400
PPIAP29	NG_007346
PPIC	NM_000943
PPID	NM_005038
PPIE	NM_006112
PPIEL	NR_003929.2
PPIF	NM_005729
PPIH	NM_006347
PPIHP1	NG_001586
PPIL1P1	NG_001555
PPIP5K1	NM_014659
PPIP5K2	NM_015216
PPL	NM_002705
PPM1A	NM_021003
PPM1AP1	NG_002692
PPM1B	NM_002706
PPM1D	NM_003620
PPM1E	NM_014906
PPM1F	NM_014634
PPM1G	NM_002707
PPM1H	NM_020700
PPM1J	NM_005167
PPM1K	NM_152542
PPM1L	NM_139245
PPM1M	NM_144641
PPM1N	NM_001080401
PPME1	NM_016147
PPOX	NM_000309
PPP1CA	NM_002708
PPP1R1A	NM_006741
PPP1R1AP2	NG_022518
PPP1R1B	NM_032192
PPP1R1C	NM_001080545
PPP1R2	NM_006241
PPP1R2P1	NG_027882
PPP1R3A	NM_002711
PPP1R3B	NM_024607
PPP1R3C	NM_005398
PPP1R3D	NM_006242
PPP1R3F	NM_033215
PPP1R3G	NM_001145115
PPP1R7	NM_002712
PPP1R8	NM_014110
PPP1R9A	NM_001166160
PPP1R9B	NM_032595
PPP1R10	NM_002714
PPP1R10P1	NG_024439
PPP1R11	NM_021959
PPP1R11P2	NG_009575
PPP1R12A	NM_002480
PPP1R12B	NM_032105
PPP1R12BP2	NG_002939
PPP1R12C	NM_017607
PPP1R13B	NM_015316
PPP1R13L	NM_006663
PPP1R14A	NM_033256
PPP1R14B	NM_138689
PPP1R14BP1	NG_001274
PPP1R14C	NM_030949
PPP1R14D	NM_017726
PPP1R15A	NM_014330
PPP1R15B	NM_032833
PPP1R16A	NM_032902
PPP1R16B	NM_015568
PPP1R17	NM_006658
PPP1R18	NM_133471
PPP1R21	NM_152994
PPP1R26	NM_014811
PPP1R27	NM_001007533
PPP1R32	NM_145017
PPP1R35	NM_145030
PPP1R36	NM_172365
PPP1R37	NM_173634
PPP1R42	NM_001013626
PPP2CA	NM_002715
PPP2CB	NM_001009552
PPP2R1A	NM_014225
PPP2R1B	NM_002716
PPP2R2A	NM_002717
PPP2R2B	NM_181678
PPP2R2C	NM_181876
PPP2R2D	NM_018461
PPP2R3A	NM_002718
PPP2R3B	NM_013239
PPP2R3C	NM_017917
PPP2R4	NM_021131
PPP2R5A	NM_006243
PPP2R5B	NM_006244
PPP2R5C	NM_002719
PPP2R5D	NM_006245
PPP2R5E	NM_006246
PPP3CA	NM_000944
PPP3CB	NM_021132
PPP3CC	NM_005605
PPP3R1	NM_000945
PPP3R2	NM_147180
PPP4C	NM_002720
PPP4R1	NM_005134
PPP4R1L	NR_003505
PPP4R2	NM_174907
PPP4R4	NM_058237
PPP5C	NM_006247
PPP6C	NM_016294
PPP6R1	NM_014931
PPP6R2	NM_014678
PPP6R3	NM_018312
PPPDE1	NM_016076
PPPDE2	NM_015704
PPRC1	NM_015062
PPT1	NM_000310
PPTC7	NM_139283
PPWD1	NM_015342
PPY	NM_002722
PPY2	NR_002181
PQBP1	NM_001032381.1
PQLC1	NM_025078
PQLC2	NM_017765
PQLC3	NM_152391
PRAC	NM_032391
PRADC1	NM_032319
PRAF2	NM_007213
PRAM1	NM_032152
PRAME	NM_206953
PRAMEF1	NM_023013
PRAMEF2	NM_023014
PRAMEF3	NM_001013692
PRAMEF4	NM_001009611
PRAMEF5	NM_001013407
PRAMEF6	NM_001010889
PRAMEF7	NM_001012277
PRAMEF8	NM_001012276
PRAMEF9	NM_001010890
PRAMEF10	XM_496342
PRAMEF11	XM_496341
PRAMEF12	XM_372760
PRAMEF13	XM_375688
PRAMEF14	NM_001099854
PRAMEF15	NM_001098376
PRAMEF16	NM_001045480
PRAMEF17	NM_001099851
PRAMEF18	NM_001099850
PRAMEF19	NM_001099790
PRAMEF20	NM_001099852
PRAMEF22	NM_001100631
PRAMEF23	XM_001130065
PRAMEL	XM_001717401
PRAP1	NM_145202
PRB1	NM_005039
PRB2	NM_006248
PRB3	NM_006249
PRB4	NM_002723
PRC1	NM_003981
PRCC	NM_005973
PRCP	NM_005040
PRDM2	NM_012231
PRDM4	NM_012406
PRDM6	XM_049619
PRDM9	NM_020227
PRDM10	NM_199437
PRDM11	NM_020229
PRDM12	NM_021619
PRDM15	NM_022115
PRDM16	NM_022114
PRDX1	NM_181697
PRDX2	NM_005809
PRDX2P1	NG_002915
PRDX3	NM_006793
PRDX4	NM_006406
PRDX4P2	NG_024668
PRDX5	NM_181651
PRDX6	NM_004905
PREB	NM_013388
PRELID1	NM_013237
PRELID2	NM_182960
PRELP	NM_002725
PREPL	NM_006036
PREX1	NM_020820
PREX2	NM_025170
PRF1	NM_005041
PRG2	NM_002728
PRG3	NM_006093
PRG4	NM_005807
PRH1	NM_006250
PRH2	NM_001110213
PRICKLE2	NM_198859
PRICKLE3	NM_006150
PRICKLE4	NM_013397
PRIM1	NM_000946
PRIMA1	NM_178013
PRINS	NR_023388
PRKAA1	NM_006251
PRKAA2	NM_006252
PRKAB1	NM_006253
PRKAB2	NM_005399
PRKACA	NM_002730
PRKACB	NM_182948
PRKAG1	NM_002733
PRKAG2	NM_016203
PRKCB	NM_212535
PRKCDBP	NM_145040
PRKCG	NM_002739
PRKCH	NM_006255
PRKCI	NM_002740
PRKCQ	NM_006257
PRKCZ	NM_002744
PRKD1	NM_002742
PRKD2	NM_016457
PRKD3	NM_005813
PRKDC	NM_001081640
PRKG2	NM_006259
PRKRA	NM_003690
PRKRAP1	XR_015579
PRKRIP1	NM_024653
PRKRIR	NM_004705
PRKRIRP1	NG_022612
PRKRIRP10	NG_024925
PRKX	NM_005044
PRL	NM_000948
PRLH	NM_015893
PRLHR	NM_004248
PRMT2	NM_001535
PRMT3	NM_005788
PRMT6	NM_018137
PRMT7	NM_019023
PRMT8	NM_019854
PRND	NM_012409
PRNP	NM_000311
PRNT	NM_177549
PROC	NM_000312
PROCA1	NM_152465
PRODH	NM_016335
PRODH2	NM_021232
PROK1	NM_032414
PROK2	NM_001126128
PROKR2	NM_144773
PROL1	NM_021225
PROM1	NM_006017
PROM2	NM_144707
PROP1	NM_006261
PRORSD1P	NR_027258
PROS1	NM_000313
PROSC	NM_007198
PROSER1	NM_025138
PROX1	NM_002763
PROX1-AS1	NR_037850
PROZ	NM_003891
PRPF3	NM_004698
PRPF4	NM_004697
PRPF6	NM_012469
PRPF19	NM_014502
PRPF38A	NM_032864
PRPF38B	NM_018061
PRPF40A	XM_371575
PRPF40B	NM_012272
PRPH	NM_006262
PRPH2	NM_000322
PRPS1L1	NM_175886
PRPS2	NM_002765
PRPSAP1	NM_002766
PRPSAP2	NM_002767
PRR3	NM_025263
PRR4	NM_007244
PRR5	NM_001017528
PRR5-ARHGAP8	NM_181334
PRR5L	NM_024841
PRR7	NM_030567
PRR11	NM_018304
PRR12	NM_020719
PRR13	NM_018457
PRR14	NM_024031
PRR14L	NM_173566
