gene	variants	fams	biotype	description	omim_hit
PNPLA7	1	MGP44	protein_coding	patatin-like phospholipase domain containing 7 [Source:HGNC Symbol;Acc:24768]	 PATATIN-LIKE PHOSPHOLIPASE DOMAIN-CONTAINING PROTEIN 7; PNPLA7
POGLUT1	1	MGP43			
POLDIP3	1	MGP43	protein_coding	polymerase (DNA-directed), delta interacting protein 3 [Source:HGNC Symbol;Acc:23782]	 POLYMERASE DELTA-INTERACTING PROTEIN 3; POLDIP3
POLE	1	MGP43	protein_coding	polymerase (DNA directed), epsilon [Source:HGNC Symbol;Acc:9177]	 POLYMERASE, DNA, EPSILON; POLE
POTEC	1	MGP43	protein_coding	POTE ankyrin domain family, member C [Source:HGNC Symbol;Acc:33894]	
POTEF	1	MGP43			
PPDPF	1	MGP43	protein_coding	pancreatic progenitor cell differentiation and proliferation factor homolog (zebrafish) [Source:HGNC Symbol;Acc:16142]	
PPL	1	MGP43	protein_coding	periplakin [Source:HGNC Symbol;Acc:9273]	 PERIPLAKIN; PPL
PPM1F	1	MGP43			
PPP1R15A	1	MGP43			 PROTEIN PHOSPHATASE 1, REGULATORY SUBUNIT 15A; PPP1R15A
PPP1R9B	1	MGP43	processed_transcript	protein phosphatase 1, regulatory (inhibitor) subunit 9B [Source:HGNC Symbol;Acc:9298]	
PPP2R1A	1	MGP43			 PROTEIN PHOSPHATASE 2, STRUCTURAL/REGULATORY SUBUNIT A, ALPHA; PPP2R1A
PRAMEF12	4	MGP43	protein_coding	PRAME family member 12 [Source:HGNC Symbol;Acc:22125]	
PRAMEF22	1	MGP43			
PRDM11	1	MGP43	protein_coding	PR domain containing 11 [Source:HGNC Symbol;Acc:13996]	
PRH1	1	MGP43			c(" PROLINE-RICH PROTEIN, HaeIII SUBFAMILY, 2; PRH2", " PROLINE-RICH PROTEIN, HaeIII SUBFAMILY, 1; PRH1")
PRNT	1	MGP43			
PROM2	1	MGP43	protein_coding	prominin 2 [Source:HGNC Symbol;Acc:20685]	
PRORSD1P	1	MGP43			
PRR21	1	MGP43			
PRR22	1	MGP43			
PRRC2B	1	MGP43	protein_coding	proline-rich coiled-coil 2B [Source:HGNC Symbol;Acc:28121]	
PRSS50	1	MGP43			 TESTIS-SPECIFIC PROTEASE 50
PRUNE2	1	MGP43			 PRUNE, DROSOPHILA, HOMOLOG OF, 2; PRUNE2
PSAPL1	1	MGP44	protein_coding	prosaposin-like 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:33131]	
PSG3	1	MGP43			 PREGNANCY-SPECIFIC BETA-1-GLYCOPROTEIN 3; PSG3
PSG8	1	MGP43			 PREGNANCY-SPECIFIC BETA-1-GLYCOPROTEIN 8; PSG8
PSPH	2	MGP43			 PHOSPHOSERINE PHOSPHATASE; PSPH
PTGS1	1	MGP44			 PROSTAGLANDIN-ENDOPEROXIDE SYNTHASE 1; PTGS1
PTH1R	1	MGP43			 PARATHYROID HORMONE 1 RECEPTOR; PTH1R
PTPN14	1	MGP43			 PROTEIN-TYROSINE PHOSPHATASE, NONRECEPTOR-TYPE, 14; PTPN14
PTPRG	1	MGP44	protein_coding	protein tyrosine phosphatase, receptor type, G [Source:HGNC Symbol;Acc:9671]	 PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, GAMMA; PTPRG
PTPRH	1	MGP43			 PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, H; PTPRH
QRICH1	1	MGP43			
QRICH2	1	MGP43			
RAD1	1	MGP43			 RAD1, S. POMBE, HOMOLOG OF; RAD1
RAD17	1	MGP43	protein_coding	RAD17 homolog (S. pombe) [Source:HGNC Symbol;Acc:9807]	 RAD17, S. POMBE, HOMOLOG OF; RAD17
RAD51L3,RAD51L3-RFFL	1	MGP43			
RAET1L	1	MGP43	protein_coding	retinoic acid early transcript 1L [Source:HGNC Symbol;Acc:16798]	 RETINOIC ACID EARLY TRANSCRIPT 1L; RAET1L
RANBP3L	1	MGP43			
RASSF7	1	MGP43			 RAS ASSOCIATION DOMAIN FAMILY, MEMBER 7; RASSF7
RDH13	2	MGP43			
RECQL5	1	MGP43	protein_coding	RecQ protein-like 5 [Source:HGNC Symbol;Acc:9950]	 RECQ PROTEIN-LIKE 5; RECQL5
REG3A	1	MGP44			 REGENERATING ISLET-DERIVED 3-ALPHA; REG3A
RERE	1	MGP43			 RE REPEATS-ENCODING GENE; RERE
RFX5	1	MGP43	LRG_gene	regulatory factor X, 5 (influences HLA class II expression) [Source:HGNC Symbol;Acc:9986]	c(" REGULATORY FACTOR X, 5; RFX5", " REGULATORY FACTOR X, 5; RFX5")
RFXAP	1	MGP43	c("protein_coding", "LRG_gene")	c("regulatory factor X-associated protein [Source:HGNC Symbol;Acc:9988]", "regulatory factor X-associated protein [Source:HGNC Symbol;Acc:9988]")	c(" REGULATORY FACTOR X-ASSOCIATED PROTEIN; RFXAP", " REGULATORY FACTOR X-ASSOCIATED PROTEIN; RFXAP")
RGNEF	1	MGP43			
RHOT2	1	MGP43			 RAS HOMOLOG GENE FAMILY, MEMBER T2; RHOT2
RIMBP3B,RIMBP3C	1	MGP43			
RNASEL	1	MGP43	protein_coding	ribonuclease L (2,5-oligoisoadenylate synthetase-dependent) [Source:HGNC Symbol;Acc:10050]	 RIBONUCLEASE L; RNASEL
RNF125	1	MGP44			 RING FINGER PROTEIN 125; RNF125
RNF32	1	MGP43			 RING FINGER PROTEIN 32; RNF32
RP1L1	1	MGP43			 RP1-LIKE PROTEIN 1; RP1L1
RPL13AP5	1	MGP44	pseudogene	ribosomal protein L13a pseudogene 5 [Source:HGNC Symbol;Acc:23736]	
RPL23AP82	1	MGP43			
RPL3L	1	MGP43			
RPSAP58	1	MGP43	protein_coding	ribosomal protein SA pseudogene 58 [Source:HGNC Symbol;Acc:36809]	
RRN3P2	1	MGP43			
RSPH10B2	1	MGP43			
RXFP2	1	MGP43	protein_coding	relaxin/insulin-like family peptide receptor 2 [Source:HGNC Symbol;Acc:17318]	 LEUCINE-RICH REPEAT-CONTAINING G PROTEIN-COUPLED RECEPTOR 8; LGR8
SAA1	1	MGP43			c(" SERUM AMYLOID A2; SAA2", " SERUM AMYLOID A1; SAA1")
SACS	1	MGP43			 SACSIN; SACS
SAMD9	1	MGP43			 STERILE ALPHA MOTIF DOMAIN-CONTAINING PROTEIN 9; SAMD9
SAP30L	1	MGP43			 SAP30-LIKE PROTEIN; SAP30L
SBF1P1	2	MGP43			
SCML4	1	MGP43	protein_coding	sex comb on midleg-like 4 (Drosophila) [Source:HGNC Symbol;Acc:21397]	
SCN4B	1	MGP43			 SODIUM CHANNEL, VOLTAGE-GATED, TYPE IV, BETA SUBUNIT; SCN4B
SDC1	1	MGP43			 SYNDECAN 1; SDC1
SDC3	1	MGP43	protein_coding	syndecan 3 [Source:HGNC Symbol;Acc:10660]	 SYNDECAN 3; SDC3
SDHC	1	MGP43			 SUCCINATE DEHYDROGENASE COMPLEX, SUBUNIT C, INTEGRAL MEMBRANE PROTEIN,
SDK1	2	MGP43			 SIDEKICK, DROSOPHILA, HOMOLOG OF, 1; SDK1
SECISBP2L	1	MGP43			
SELS	1	MGP44			
SEMG2	1	MGP43	protein_coding	semenogelin II [Source:HGNC Symbol;Acc:10743]	 SEMENOGELIN II; SEMG2
SENP6	1	MGP43			 SENTRIN-SPECIFIC PROTEASE FAMILY, MEMBER 6; SENP6
SERF2-C15ORF63	1	MGP43			
SERF2,SERF2-C15ORF63	1	MGP43			
SERPINA1	1	MGP43			 SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 1; SERPINA1
SFRP2	1	MGP43			 SECRETED FRIZZLED-RELATED PROTEIN 2; SFRP2
SGSM2	1	MGP43			 SMALL G PROTEIN SIGNALING MODULATOR 2; SGSM2
SH3BP1	1	MGP43			
SH3GL1	1	MGP43			 SH3 DOMAIN, GRB2-LIKE, 1; SH3GL1
SHBG	1	MGP43	protein_coding	sex hormone-binding globulin [Source:HGNC Symbol;Acc:10839]	 SEX HORMONE-BINDING GLOBULIN; SHBG
SHCBP1	1	MGP43	protein_coding	SHC SH2-domain binding protein 1 [Source:HGNC Symbol;Acc:29547]	 SHC SH2 DOMAIN-BINDING PROTEIN 1; SHCBP1
SHROOM4	1	MGP43			 SHROOM FAMILY MEMBER 4; SHROOM4
SIRPB1	1	MGP43	protein_coding	signal-regulatory protein beta 1 [Source:HGNC Symbol;Acc:15928]	 SIGNAL REGULATORY PROTEIN, BETA-1; SIRPB1
SIRT2	1	MGP43	protein_coding	sirtuin 2 [Source:HGNC Symbol;Acc:10886]	 SIRTUIN 2; SIRT2
SKA3	1	MGP44			
SLC11A2	1	MGP43			 SOLUTE CARRIER FAMILY 11 (PROTON-COUPLED DIVALENT METAL ION TRANSPORTER),
SLC16A9	1	MGP43	protein_coding	solute carrier family 16, member 9 (monocarboxylic acid transporter 9) [Source:HGNC Symbol;Acc:23520]	
SLC22A1	1	MGP43			 SOLUTE CARRIER FAMILY 22 (ORGANIC CATION TRANSPORTER), MEMBER 1; SLC22A1
SLC25A32	1	MGP43			 SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER, FOLATE), MEMBER 32;
SLC26A6	1	MGP44	protein_coding	solute carrier family 26, member 6 [Source:HGNC Symbol;Acc:14472]	 SOLUTE CARRIER FAMILY 26 (ANION TRANSPORTER), MEMBER 6: SLC26A6
SLC34A1	1	MGP43			 SOLUTE CARRIER FAMILY 34 (SODIUM/PHOSPHATE COTRANSPORTER), MEMBER
SLC34A3	1	MGP43			 SOLUTE CARRIER FAMILY 34 (SODIUM/PHOSPHATE COTRANSPORTER), MEMBER
SLC37A1	1	MGP43	protein_coding	solute carrier family 37 (glycerol-3-phosphate transporter), member 1 [Source:HGNC Symbol;Acc:11024]	 SOLUTE CARRIER FAMILY 37 (GLYCEROL-3-PHOSPHATE TRANSPORTER), MEMBER
SLC39A4	1	MGP43	protein_coding	solute carrier family 39 (zinc transporter), member 4 [Source:HGNC Symbol;Acc:17129]	 SOLUTE CARRIER FAMILY 39 (ZINC TRANSPORTER), MEMBER 4; SLC39A4
SLC39A8	1	MGP43	protein_coding	solute carrier family 39 (zinc transporter), member 8 [Source:HGNC Symbol;Acc:20862]	 SOLUTE CARRIER FAMILY 39 (ZINC TRANSPORTER), MEMBER 8; SLC39A8
SLX4	1	MGP43	protein_coding	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:23845]	 SLX4, S. CEREVISIAE, HOMOLOG OF; SLX4
SMAD6	1	MGP43			 MOTHERS AGAINST DECAPENTAPLEGIC, DROSOPHILA, HOMOLOG OF, 6; SMAD6
SMPD1	1	MGP43	protein_coding	sphingomyelin phosphodiesterase 1, acid lysosomal [Source:HGNC Symbol;Acc:11120]	 SPHINGOMYELIN PHOSPHODIESTERASE 1, ACID LYSOSOMAL; SMPD1
SNAP91	1	MGP43			 SYNAPTOSOMAL-ASSOCIATED PROTEIN, 91-KD; SNAP91
SNORD100	1	MGP43	snoRNA	small nucleolar RNA, C/D box 100 [Source:HGNC Symbol;Acc:32763]	
SNORD115-15,SNORD115-21	1	MGP43			
SNX31	1	MGP43	protein_coding	sorting nexin 31 [Source:HGNC Symbol;Acc:28605]	
SOCS7	1	MGP43			 SUPPRESSOR OF CYTOKINE SIGNALING 7; SOCS7
SPATA20	1	MGP43	protein_coding	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]	 SPERMATOGENESIS-ASSOCIATED PROTEIN 20; SPATA20
SPEG	1	MGP43			
SPTB	2	MGP43	protein_coding	spectrin, beta, erythrocytic [Source:HGNC Symbol;Acc:11274]	 SPECTRIN, BETA, ERYTHROCYTIC; SPTB
SREBF2	1	MGP43			 STEROL REGULATORY ELEMENT-BINDING TRANSCRIPTION FACTOR 2; SREBF2
SRMS	3	MGP43	protein_coding	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:HGNC Symbol;Acc:11298]	
SSPO	1	MGP43			
ST18	1	MGP43			
ST8SIA6	1	MGP43			 ST8 ALPHA-N-ACETYL-NEURAMINIDE ALPHA-2,8-SIALYLTRANSFERASE 6; ST8SIA6
STAT6	1	MGP43			 SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 6; STAT6
STEAP2	1	MGP41			 SIX-TRANSMEMBRANE EPITHELIAL ANTIGEN OF PROSTATE 2; STEAP2
SUN2	1	MGP43			 SAD1 AND UNC84 DOMAIN-CONTAINING PROTEIN 2; SUN2
SUN5	1	MGP43			 SAD1 AND UNC84 DOMAIN-CONTAINING PROTEIN 5; SUN5
SV2C	1	MGP43	protein_coding	synaptic vesicle glycoprotein 2C [Source:HGNC Symbol;Acc:30670]	 SYNAPTIC VESICLE GLYCOPROTEIN 2C; SV2C
SYNE2	1	MGP43			 SYNAPTIC NUCLEAR ENVELOPE PROTEIN 2; SYNE2
SYS1-DBNDD2	1	MGP43			
TAG	1	MGP43			
TAX1BP3	1	MGP43			
TBC1D20	1	MGP43			 TBC1 DOMAIN FAMILY, MEMBER 20; TBC1D20
TCHH	1	MGP43	protein_coding	trichohyalin [Source:HGNC Symbol;Acc:11791]	 TRICHOHYALIN; TCHH
TCOF1	1	MGP43	protein_coding	Treacher Collins-Franceschetti syndrome 1 [Source:HGNC Symbol;Acc:11654]	 TCOF1 GENE; TCOF1
TCP10	1	MGP43	protein_coding	t-complex 10 homolog (mouse) [Source:HGNC Symbol;Acc:11656]	 T-COMPLEX 10; TCP10
TEKT5	1	MGP43	protein_coding	tektin 5 [Source:HGNC Symbol;Acc:26554]	
TENC1	1	MGP43	protein_coding	tensin like C1 domain containing phosphatase (tensin 2) [Source:HGNC Symbol;Acc:19737]	 TENSIN-LIKE C1 DOMAIN-CONTAINING PHOSPHATASE; TENC1
TESC	1	MGP43			 TESCALCIN, MOUSE, HOMOLOG OF; TESC
TFDP1	1	MGP43			 TRANSCRIPTION FACTOR DP1; TFDP1
TGFBR3	1	MGP43			 TRANSFORMING GROWTH FACTOR-BETA RECEPTOR, TYPE III; TGFBR3
TGM5	1	MGP43	protein_coding	transglutaminase 5 [Source:HGNC Symbol;Acc:11781]	 TRANSGLUTAMINASE 5; TGM5
THAP4	1	MGP43	protein_coding	THAP domain containing 4 [Source:HGNC Symbol;Acc:23187]	 THAP DOMAIN-CONTAINING PROTEIN 4; THAP4
THAP8	1	MGP43	protein_coding	THAP domain containing 8 [Source:HGNC Symbol;Acc:23191]	 THAP DOMAIN-CONTAINING PROTEIN 8; THAP8
TLR1	1	MGP43			 TOLL-LIKE RECEPTOR 1; TLR1
TM7SF4	1	MGP43			 TRANSMEMBRANE 7 SUPERFAMILY, MEMBER 4; TM7SF4
TMC6	1	MGP43	c("protein_coding", "LRG_gene")	c("transmembrane channel-like 6 [Source:HGNC Symbol;Acc:18021]", "transmembrane channel-like 6 [Source:HGNC Symbol;Acc:18021]")	c(" TRANSMEMBRANE CHANNEL-LIKE PROTEIN 6; TMC6", " TRANSMEMBRANE CHANNEL-LIKE PROTEIN 6; TMC6")
TMEM132D	1	MGP43			 TRANSMEMBRANE PROTEIN 132D; TMEM132D
TMEM132E	1	MGP43	protein_coding	transmembrane protein 132E [Source:HGNC Symbol;Acc:26991]	
TMEM139	1	MGP43			
TMEM38B	1	MGP43	protein_coding	transmembrane protein 38B [Source:HGNC Symbol;Acc:25535]	 TRANSMEMBRANE PROTEIN 38B; TMEM38B
TMEM62	1	MGP43	protein_coding	transmembrane protein 62 [Source:HGNC Symbol;Acc:26269]	
TMEM71	1	MGP43	protein_coding	transmembrane protein 71 [Source:HGNC Symbol;Acc:26572]	
TMEM89	1	MGP43	protein_coding	transmembrane protein 89 [Source:HGNC Symbol;Acc:32372]	
TMX4	1	MGP43	protein_coding	thioredoxin-related transmembrane protein 4 [Source:HGNC Symbol;Acc:25237]	
TNC	1	MGP43			 TENASCIN C; TNC
TNFRSF19	1	MGP43			 TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 19; TNFRSF19
TNFRSF1B	1	MGP43			 TUMOR NECROSIS FACTOR RECEPTOR SUBFAMILY, MEMBER 1B; TNFRSF1B
TNFSF10	1	MGP43	protein_coding	tumor necrosis factor (ligand) superfamily, member 10 [Source:HGNC Symbol;Acc:11925]	 TUMOR NECROSIS FACTOR LIGAND SUPERFAMILY, MEMBER 10; TNFSF10
TNIK;TNIK	1	MGP43			
TNN	1	MGP43			
TONSL	1	MGP43			 NUCLEAR FACTOR OF KAPPA LIGHT CHAIN GENE ENHANCER IN B CELLS INHIBITOR-LIKE
TOP3B	1	MGP43			 TOPOISOMERASE, DNA, III, BETA; TOP3B
TOX3	1	MGP44			 TOX HIGH MOBILITY GROUP BOX FAMILY MEMBER 3; TOX3
TP53TG5	1	MGP43	protein_coding	TP53 target 5 [Source:HGNC Symbol;Acc:15856]	
TPI1	1	MGP43	protein_coding	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:12009]	 TRIOSEPHOSPHATE ISOMERASE 1; TPI1
TRAP1	1	MGP43			 TUMOR NECROSIS FACTOR RECEPTOR-ASSOCIATED PROTEIN 1; TRAP1
TREML2P1	1	MGP43			
TREML4	1	MGP43			
TRIM66	1	MGP43	protein_coding	tripartite motif containing 66 [Source:HGNC Symbol;Acc:29005]	 TRIPARTITE MOTIF-CONTAINING PROTEIN 66; TRIM66
TRIOBP	1	MGP43	protein_coding	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:17009]	 TRIO- AND F-ACTIN-BINDING PROTEIN; TRIOBP
TRIP11	1	MGP43			 THYROID HORMONE RECEPTOR INTERACTOR 11; TRIP11
TRPV1	1	MGP43			 TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY V, MEMBER 1;
TRPV4	1	MGP43	protein_coding	transient receptor potential cation channel, subfamily V, member 4 [Source:HGNC Symbol;Acc:18083]	 TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL, SUBFAMILY V, MEMBER 4;
TSGA10IP	1	MGP43			
TSNAX-DISC1	1	MGP43			
TSPYL1	1	MGP43			 TSPY-LIKE 1; TSPYL1
TTC19	1	MGP44			 TETRATRICOPEPTIDE REPEAT DOMAIN 19; TTC19
TTC21A	1	MGP43			 TETRATRICOPEPTIDE REPEAT DOMAIN 21A; TTC21A
TTLL3	1	MGP43			
TTN	1	MGP43			 TITIN; TTN
TUBA3E	1	MGP43			
TYK2	1	MGP43	protein_coding	tyrosine kinase 2 [Source:HGNC Symbol;Acc:12440]	 TYROSINE KINASE 2; TYK2
UACA	1	MGP43	protein_coding	uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:HGNC Symbol;Acc:15947]	 UVEAL AUTOANTIGEN WITH COILED-COIL DOMAINS AND ANKYRIN REPEATS; UACA
UBAC2	1	MGP43			
UBE2MP1	1	MGP43			
UGGT1	1	MGP43			 UDP-GLUCOSE:GLYCOPROTEIN GLUCOSYLTRANSFERASE 1; UGGT1
UGT2A1	1	MGP43			 URIDINE DIPHOSPHATE GLYCOSYLTRANSFERASE 2 FAMILY, MEMBER A1; UGT2A1
UGT2B28	1	MGP43			 URIDINE DIPHOSPHATE GLYCOSYLTRANSFERASE 2 FAMILY, MEMBER B28; UGT2B28
ULK1	1	MGP43			 UNC51-LIKE KINASE 1; ULK1
UMODL1	2	MGP43			 UROMODULIN-LIKE 1; UMODL1
UPK1A	1	MGP43	protein_coding	uroplakin 1A [Source:HGNC Symbol;Acc:12577]	 UROPLAKIN 1A; UPK1A
USH2A	1	MGP43			 USH2A GENE; USH2A
USP21	1	MGP43	protein_coding	ubiquitin specific peptidase 21 [Source:HGNC Symbol;Acc:12620]	 UBIQUITIN-SPECIFIC PROTEASE 21; USP21
UTP20;UTP20	1	MGP41			
UTP6	1	MGP44	protein_coding	UTP6, small subunit (SSU) processome component, homolog (yeast) [Source:HGNC Symbol;Acc:18279]	
VAPB	1	MGP43	protein_coding	VAMP (vesicle-associated membrane protein)-associated protein B and C [Source:HGNC Symbol;Acc:12649]	 VESICLE-ASSOCIATED MEMBRANE PROTEIN-ASSOCIATED PROTEIN B; VAPB
VPS13A	1	MGP43			 VACUOLAR PROTEIN SORTING 13, YEAST, HOMOLOG OF, A; VPS13A
VPS8	1	MGP43			
WAC	3	MGP43			
WASH7P	1	MGP43			
WBSCR22	1	MGP43			
WDR72	1	MGP44			 WD REPEAT-CONTAINING PROTEIN 72; WDR72
WDR73	1	MGP43	protein_coding	WD repeat domain 73 [Source:HGNC Symbol;Acc:25928]	
WIF1	1	MGP43			 WNT INHIBITORY FACTOR 1; WIF1
XRRA1	1	MGP41	protein_coding	X-ray radiation resistance associated 1 [Source:HGNC Symbol;Acc:18868]	 X-RAY RADIATION RESISTANCE-ASSOCIATED 1; XRRA1
YTHDC1	1	MGP43	protein_coding	YTH domain containing 1 [Source:HGNC Symbol;Acc:30626]	
YTHDC2	1	MGP43			
ZAN	1	MGP43	polymorphic_pseudogene	zonadhesin [Source:HGNC Symbol;Acc:12857]	 ZONADHESIN; ZAN
ZBBX	1	MGP44			
ZDHHC8P1	1	MGP43			
ZFR2	1	MGP43	protein_coding	zinc finger RNA binding protein 2 [Source:HGNC Symbol;Acc:29189]	
ZIM3	1	MGP43			
ZMYND8	1	MGP43			
ZNF10	1	MGP43			 ZINC FINGER PROTEIN 10; ZNF10
ZNF146	1	MGP43	protein_coding	zinc finger protein 146 [Source:HGNC Symbol;Acc:12931]	 ZINC FINGER PROTEIN 146; ZNF146
ZNF19	1	MGP44			 ZINC FINGER PROTEIN 19; ZNF19
ZNF280D	1	MGP43	protein_coding	zinc finger protein 280D [Source:HGNC Symbol;Acc:25953]	
ZNF417	1	MGP43			
ZNF513	1	MGP43			 ZINC FINGER PROTEIN 513; ZNF513
ZNF546	1	MGP43	protein_coding	zinc finger protein 546 [Source:HGNC Symbol;Acc:28671]	
ZNF664	1	MGP41			
ZNF667	1	MGP43			 ZINC FINGER PROTEIN 667; ZNF667
ZNF678	1	MGP44	protein_coding	zinc finger protein 678 [Source:HGNC Symbol;Acc:28652]	
ZNF679	1	MGP43	protein_coding	zinc finger protein 679 [Source:HGNC Symbol;Acc:28650]	
ZNF701	1	MGP43			
ZNF705G	1	MGP43			
ZNF71	1	MGP43			 ZINC FINGER PROTEIN 71; ZNF71
ZNF736	1	MGP44	protein_coding	zinc finger protein 736 [Source:HGNC Symbol;Acc:32467]	
ZNF778	1	MGP43			
ZNFX1	1	MGP43			
ZNRF4	1	MGP43			 ZINC FINGER AND RING FINGER PROTEIN 4; ZNRF4
ZSCAN18	1	MGP43			
ZZZ3	1	MGP43			
